@relation disaster_tweets

@attribute text string
@attribute class_attr {derailment, fire, crash, wildfire, earthquake, bombings, shooting, flood, building_collapse, typhoon, explosion}

@data
'typhoon rescue crew  work find hundred miss people remote village',typhoon
'typhoon hit expect people valley  expect typhoon',typhoon
' typhoon death toll pass',typhoon
'typhoon move north northwest max sustain wind near center amp up',typhoon
'please may get help people agency',typhoon
'de university suspend class preschool grade school high school',typhoon
'typhoon thump  read full report here',typhoon
'have million peso side right now id give half victim',typhoon
'news typhoon make landfall  initial report show damage so far',typhoon
'image day super typhoon',typhoon
'typhoon head ',typhoon
'house member give salary victim',typhoon
'news typhoon forecast strike  gmt blog ',typhoon
'typhoon hit kill more people',typhoon
'miss anne raise fund victim typhoon one ask join',typhoon
'find out stop bangladesh factory collapse amp can make happen',building_collapse
' factory collapse force company rethink outsource manufacture',building_collapse
'fire alarm tragedy',building_collapse
'price pay family dead garment worker so can have clothe',building_collapse
'no word haunt photo become symbol  build collapse',building_collapse
'brand distance  factory collapse',building_collapse
'body still collapse  build',building_collapse
'survivor  factory collapse speak out so',building_collapse
'thousand mourn victim factory collapse photo',building_collapse
'death toll  build collapse now above',building_collapse
're factory collapse  pope call one foundation capitalism slavery',building_collapse
' end search collapse victim source ho',building_collapse
'photo  build collapse chill photo',building_collapse
'world news least dead  build collapse usa today usa today  least',building_collapse
'collect fund send  help cover medical expense victim donate',building_collapse
'store boycott may answer demand retailer take responsibility safety be',building_collapse
' factory collapse pope condemn slave labour condition',building_collapse
' build collapse death toll surpass more body have be recover',building_collapse
'oh god devastate photo  factory collapse shake',building_collapse
' factory collapse family search truck haul debris dead',building_collapse
'trap  build rubble toll top  survivor',building_collapse
' build collapse death toll approach',building_collapse
'think amp family   build collapse kill least',building_collapse
'head official inquiry  factory collapse say building owner main culprit',building_collapse
'dear rescuer thank fast respond appreciate much help guy have family thank',flood
'need help w day old baby unit pine cluster',flood
'good morning please god bless',flood
'put who need rescue here',flood
'video  flood kill over people',flood
'up planner purchase donate disaster survivor',flood
'update emergency',flood
' need help help hospital evacuee due flood',flood
'let pray who lose home now live cold starve',flood
'family need food clean water flood chest deep inside house send',flood
'please use social medium want like boy who cry wolf',flood
'knee high flood',flood
'trinity university asia high school campus sr open evacuee donation please',flood
'help baby villa olympia domingo',flood
' flood displace ten thousand',flood
'doctor do have generator help lot baby there thank',flood
'aerial view  flood aug please help',flood
' accept flood victim bpi',flood
'can somebody call team priority hospital generator down need help',flood
'people house please send help',flood
'need help',flood
'please help strand ang ng teacher village stay top roof',flood
'hospital run out food generator die',flood
'rescue family trap costa home child',flood
'pray  may god see help affect flood',flood
'train derailment leave dead dozen injure',derailment
'city room  today derailment affect commute',derailment
'driver  train derailment tell investigator lose focus crash',derailment
'latest train derailment dead injure full story',derailment
'engineer drive mph mph zone derailment',derailment
'train derailment air query technology',derailment
'sunday derailment train mark second incident eight month',derailment
'love today tech father four victim train crash today lose member family weekend',derailment
'news least dead injure train derailment  ',derailment
'update commuter train derail be near dead injure search',derailment
'train derailment travel update recommend use harlem haven line read more',derailment
' train crash four dead dozens injure derailment',derailment
'mt metro north train derailment grand central photo',derailment
'emergency vehicle respond  city train derailment train submerge water eyewitness',derailment
'derailment rockefeller engineer suspend',derailment
'derailment horror four dead injure five car jump track ',derailment
'derailment commuter train  kill injure dozen  time',derailment
'train speed mph curve crash',derailment
'train derailment kill hurt more   city commuter train',derailment
'update least dead injure metro north train derailment morning',derailment
' city train derailment investigation focus datum recorder speed eye possible',derailment
'update say fatality metro north derailment happen victim throw train',derailment
'think prayer family victim train derailment so',derailment
'prayer people  affect train derailment',derailment
'driver  train crash lose focus source',derailment
'injury train derailment spokesman say more',derailment
'think family business affect donation go',fire
'good mart mark talk sport reckon can smell bush fire ',fire
' wildfire still burn out control authority warn high temp wind keep heighten fire danger',fire
'group near fire one',fire
'effort  try contain  fire scene loss pray',fire
'official least bush fire rage  state emergency declare',fire
'see call triple zero please do call report',fire
'send love support who have lose home live fire  send love way',fire
'relief crew arrive be now head back station coach long day good luck night crew',fire
'commissioner use today prepare use tonight check bush fire survival plan',fire
'please help support  blue mountain appeal help suffer  fire',fire
'sw wind expect today',fire
'nina spare outside house amaze',fire
'think prayer affect  fire stay safe',fire
'yes fire  experience year record',fire
'there link climate change un expert say think talk hat say mr',fire
'sign government follow outsource science',fire
'n military probe fire link  military investigate train exercise use',fire
'al gore throw climate lie blame  fire climate change',fire
'satellite image show extent',fire
'blood red sky over tom bridge south  photo lane amaze',fire
'pack out hall high  meet',fire
'north fire take off',fire
'acre burn  latest bush fire incident heavy damage',fire
'let forget fire down idiot report  morning herald oct',fire
'miracle  fire kill premier',fire
'stay safe over there fellow filipino',earthquake
'photo magnitude quake  please stay safe',earthquake
'know thing happen country  it much',earthquake
'send prayer affect magnitude earthquake hit ',earthquake
'pray  earthquake yesterday people affect there',earthquake
'even behind sun still shine',earthquake
'magnitude quake hit  no tsunami threat  earthquake preliminary m',earthquake
'city mayor rama concert finale performer remind people disregard hoax text',earthquake
'goodness pray who affect earthquake safe',earthquake
'earthquake strike  october video',earthquake
'church then now magnitude earthquake today',earthquake
'luzon typhoon earthquake mindanao war pray dear ',earthquake
'guy need help victim earthquake last tuesday need candle',earthquake
'church destroy god so busy protect us house forget protect hi',earthquake
'toll continue rise latest kill injure miss amp displace',earthquake
'catch nov resort world  concert',earthquake
'earthquake first time felt',earthquake
'watch video capture devastate power  quake',earthquake
'mayor rama class level private amp public school city resume nov monday',earthquake
'quake strike  earthquake measure magnitude hit central  kill',earthquake
'preliminary magnitude earthquake off sur ',earthquake
'quake hit central  kill quake hit central  island kill',earthquake
' city  magnitude earthquake october capture must see vi',earthquake
'death toll rise least quake collapse building crack roads ',earthquake
'least people dead earthquake hit central  fox news',earthquake
'so scare over aftershock today place here',earthquake
' pd ask people social medium tweet get out area',bombings
'compare happen  explosion',bombings
'fbi release photo  marathon bomber suspect',bombings
'state affairs think',bombings
'open letter today bombing  marathon like feel',bombings
'explosion  violence go end real shit sm',bombings
'stay order can lift even be capture point',bombings
'heart pray go out affect explosion  hope ok',bombings
'go watch movie get shoot run marathon get bomb hate world',bombings
'day hate social medium rush first break news happen integrity',bombings
'crazy happen  marathon prayer involve',bombings
'tom melissa  terrorist attack there lot still need',bombings
'do country stop madness demonstrate  marathon today wonder time',bombings
'heart love prayer go out affect event ',bombings
'hope it terrorism',bombings
'possess copy protocol learn elder zion',bombings
'one  bomb suspect presume dead still',bombings
' marathon case prosecutor know record',bombings
'today april same day sink abraham lincoln shoot amp now  marathon',bombings
'custody bring',bombings
'explosion report near  marathon finish line affiliate report',bombings
'vice president describe bomb explosion',bombings
'heart go out who affect tragedy',bombings
'key congressman request classify brief saudi person interest  bomb',bombings
'close  bomb safety reason',bombings
'social medium help  wildfire relief more disaster relief red cross social medium',wildfire
' spring right now look photo shock armageddon here',wildfire
'photo view aerial image  spring',wildfire
' wildfire disaster declaration us',wildfire
' fire think amp prayer go out affect',wildfire
'pray  join us pray  fire day night',wildfire
'fire now boulder',wildfire
'map morning',wildfire
'here full statement impact',wildfire
'photo  wildfire near air force falcon stadium',wildfire
'game pitch it rain think get rain welcome  here help fire',wildfire
' wildfire depart  spring mayor reflect denver post',wildfire
'perspective acre mi note still',wildfire
'come  it fire',wildfire
'live stream video fire manager update',wildfire
'watch live update official',wildfire
' spring number one fire priority country',wildfire
' fire displace hundred person miss firefighter  mexico battle',wildfire
'dear sick go want whole mess clear up friday',wildfire
' spring fire destroy home mayor say fox news',wildfire
'want government firestorm destroy  spring home',wildfire
'news forest service call air force tanker battle  fire',wildfire
'fire out  crazy',wildfire
'evacuate please wait take pet evacuate',wildfire
'monster  wildfire rage plan visit monster  wildfire rag plan visit',wildfire
'god bless who serve stay safe',wildfire
'private use firework ban  due extreme fire danger',wildfire
'wow live stream do look good boulder right now',wildfire
' spring co fire wind blow city today look like armageddon pic',wildfire
'think go out people  deal wildfire',wildfire
'summer start there be over acre land amp home burn up  wildfire gut tell me long',wildfire
'hope fire  end',wildfire
'look multiple wildfire burn ',wildfire
'hymn praise  amaze people',crash
'update report multiple injury helicopter crash pub ',crash
'rescue worker examine wreckage police helicopter crash roof vault pub  ',crash
' helicopter crash no engine failure initial investigation cause police',crash
'photo show wreckage police  pub amp',crash
'google news  police helicopter crash live update three people fear dead',crash
'eight people confirm dead pub helicopter crash  say',crash
'scottish fire rescue service wont fatality  helicopter crash',crash
'picture emergency service scene  pub helicopter crash',crash
'fuck hell cant believe news helicopter crash frighten god',crash
'helicopter crash pub bank river clyde  mp murphy tell news',crash
'hospital  helicopter crash',crash
'look like roof have blow off eyewitness describe  pub crash',crash
'emergency service do great job',crash
'police confirm final number fatality friday night helicopter crash vault pub nine people',crash
'funeral man who die helicopter crash  hold area city',crash
'police helicopter crash pub ',crash
'bond air service suspend flight ec helicopter same model crash ',crash
'helicopter crash pub ',crash
'video nine helicopter crash victim name',crash
'helicopter crash  pub',crash
'pray have couple good night there',crash
'six people kill more injure police helicopter crash roof pack  city centre music pub',crash
'helicopter crash bar   photo',crash
'hear accident love who involve',crash
'dog team member who',crash
'update police  people take hospital  police helicopter crash pu',crash
' helicopter crash victim tribute pay four eight people have die',crash
'imagine drink bar now imagine helicopter crash',crash
'shock crash vault  hope injury',crash
'helicopter crash  pub helicopter crash pub bank river clyde  mp',crash
'helicopter crash pub wee hotel stay  hope ok',crash
'death toll rise  pub helicopter crash more body find rubble',crash
'helicopter crash roof bar  city centre',crash
'break news police confirm person die follow helicopter crash bar last month',crash
'folk make joke helicopter joke freak',crash
'gesture fan match tonight raise fund affect',crash
'witness appeal helicopter crash police officer duty area police helicopter crash',crash
' helicopter crash least six dead',crash
'dad reckon people helicopter okay control',crash
'think people involve helicopter crash  last night xx',crash
'help us get people make  pin wear victim',crash
' pub helicopter crash investigator examine wreckage',crash
'scottish authority seek clue crash worker remove wreckage helicopter',crash
'pic scene helicopter crash  tonight',crash
'hear paul walker death let forget victim yesterday helicopter crash life',crash
'break search survivor police helicopter crash pub   latest come',crash
'least person confirm dead  police helicopter crash chief say',crash
'police name gary arthur paisley one eight who die  crash',crash
'think catch up  police helicopter crash morning so andrew day',crash
' helicopter crash search amp recovery operation over no further fatality',crash
'news  helicopter crash aircraft remove pub',crash
'rescue effort full operation give incident scale must prepare likelihood fatality',crash
'police scene confirm three crash confirm dead helicopter say ',crash
'video crash helicopter remove pub emergency service have remove helicopter crash i',crash
'd report multiple injury pub  helicopter crash roof',crash
'still here helicopter winch',crash
'busy morning helicopter crash busy pub   police say dead number go up',crash
'police confirm name last four victim  helicopter crash four remain f',crash
'hope pub get out safe',crash
'think affect helicopter crash last night pray best',crash
'scottish authorities seek clue crash worker remove wreckage helicopter',crash
' mourn pub helicopter crash victim',crash
'name release more victim  crash bar amp',crash
'police helicopter crash  pub cause  number casualty helicopter crash',crash
'remove hopkins programme amp interview sick tweet helicopter crash',crash
'three dead pub helicopter crash',crash
' helicopter crash ninth body find',crash
'feed suspect return shoot  officer latest',shooting
'airport shoot one dead injure live',shooting
'live beck unify command work well wont discuss injury now',shooting
'family ask police check suspect paul send his family disturb message time',shooting
'airport shoot grant tory safe be inside terminal',shooting
'first photo  agent appear',shooting
'hell go why do something bad happen airport days fly explain',shooting
'shooter fuck purpose open fire',shooting
'shooter conceal hi weapon john miller say suitcase backpack have hole cut create hide',shooting
'man desperate get home hi family spend day airport',shooting
'airport terminal reopen shoot probe',shooting
'shoot  employee shoot news report shooter may have machine rifle',shooting
'wound shoot suspect give police information latest',shooting
'shoot suspect paul anthony join us now more suspect',shooting
'piece shit shooter cant bring me down wit hold me down',shooting
'keep prayer it like  get may',shooting
'try find out happen there',shooting
'update suspect use assault rifle custody  agent kill injure people treat transport',shooting
'shoot terminal get specific hell go down',shooting
'mt airport police official tell me suspect try flee inside terminal amp pursue fire exchange',shooting
'why shooter charge terrorist',shooting
'people disregard value life create paradigm violence hatred world',shooting
'shooter report  agent guy say have',shooting
'there report shoot international airport',shooting
' mike amp walter update world economics',shooting
'note find scene say want instill fear mind ',shooting
'flight cancel delay shoot airport',shooting
'airport evacuate shoot',shooting
'suspect family shock numb shoot family accuse gunman last week',shooting
'gun kill america',shooting
'people report injure airport shoot live',shooting
'incident it bad enough airline ticket cost much car payment now have worry',shooting
'break source tell  agent who shoot now die suspect  agent',shooting
'people freak idiot like why shoot airport idiot',shooting
'break news least people shoot airport terminal suspect use rifle major crime scene',shooting
'shoot suspect trouble',shooting
'source suspect open fire rifle document checkpoint terminal la',shooting
'more scene',shooting
'homeland security today handgun bag get attention follow shooting',shooting
'shoot victim human or dummy',shooting
'flight delay continue us shoot flight international airport con',shooting
'resident come face face shooter',shooting
'news report gunman custody',shooting
'shoot suspect old paul anthony',shooting
'update there report  agent shoot terminal evacuate',shooting
'break police say suspect custody follow shoot',shooting
'one kill la airport shoot suspect custody transportation official kill seven injure shoot',shooting
'prayer involve shooting news',shooting
'shooter pull assault rifle out bag  screen area shoot  screener open fire terminal',shooting
'full story people shoot one suspect custody',shooting
'riddle me fbi say believe shooter past criminal issue have head shoot file',shooting
'think go out involve hug family friend little today',shooting
'get brief remain his own scandal',shooting
'police go shoot suspect home minute leave day rampage',shooting
'wound shoot airport',shooting
'shooting international airport inside terminal morning least one  employee',shooting
'terminal open terminal still close la busy',shooting
' derailment say multiple injury firefighter scene photo',derailment
'read ban salt sugar amp styrofoam cup he train derailment require real leadership',derailment
'train derailment ',derailment
'official investigate train derailment kill least report',derailment
'think train crash speed investigator analyze data sunday   m',derailment
'senator press require camera train crash k',derailment
'enjoy sunday roast have lovely prayer go out hurt or kill train derailment ',derailment
'investigator recover black box train',derailment
'derailment leave dead dozen injure derailment leave',derailment
'derail  train go mph approach mph curve',derailment
'speed do it say derail train go mph head mph curve',derailment
'engineer derailment nod union official say catch',derailment
'driver  train crash zone out union driver  commuter',derailment
' train crash probe begin us authorities begin investigation cause sunday y',derailment
'crash kill  driver kill cyclist period wed',derailment
'wreckage rescue picture train crash  ',derailment
'say clear  train derailment due human error or equipment malfunction video',derailment
'four dead more injure train derailment  area ',derailment
'widow derailment victim give me life',derailment
'funeral hold more derailment victim  news funeral hold more derailment',derailment
'rockefeller engineer drive  train crash may have nod off',derailment
'patient be transport stretcher train derailment  credit',derailment
'train travel more mph time crash fox news wa',derailment
'order modify signal system follow crash wall street journal wall street journal meet',derailment
'train crash prompt feed order extra operator fox news boston train crash',derailment
'come hear people complain delay derailment better min life',derailment
'think prayer go out train derailment',derailment
'train derailment air query technology  revelation',derailment
'expert discuss train derailment danger sleep deprivation job',derailment
'break four die commuter train derail  city',derailment
' train derailment highlight evolve rail safety science train expert robert',derailment
'empire service disrupt albany due  train derailment',derailment
'multiple injury  city train derailment',derailment
'rockefeller engineer fell train derailment report vi',derailment
'update commuter train derailment dead injure',derailment
'train derailment   look like carriage river video',derailment
'develop fatality report commuter train derailment',derailment
' train crash driver in daze driver  commuter train derail kill four report',derailment
'train derailment kill hurt   city commuter train round riverside',derailment
'update four dead two eject train derailment injure',derailment
'four dead injure  passenger train derailment brief fire department ',derailment
'driver  train crash zone out union',derailment
'governor dead hurt train derailment  people dead injure train derailment t',derailment
'rip paul walker rip death metro north',derailment
'do physics make derailment',derailment
'train derailment  city train derail train water dead multiple injure',derailment
' train crash have be prevent say',derailment
'train derailment kill hurt more',derailment
'least four people kill injure train derail ',derailment
'video  train crash kill four',derailment
'lawyer engineer daze train crash  engineer speed',derailment
'least people have die train derailment   city police source tell',derailment
'wow break train derail travel mph approach mph zone',derailment
'think prayer go out one have be kill or harm train derailment',derailment
'more woman scene train derailment say train car water',derailment
'governor dead hurt train derailment ct post',derailment
'dead hurt train derailment  accord ',derailment
'prosecutor face tough choice derailment',derailment
'derail  train travel area mph speed limit time derail  t',derailment
' train derailment safety official recover black box time',derailment
'train na police say passenger train derail  city car water',derailment
'holy shit picture metro north train derailment',derailment
'sr official tell news toll now dead injure passenger train derailment',derailment
' train crash technician nurse victim job have j',derailment
'post train engineer sleep crash',derailment
' train crash authorities begin investigation passenger face delay national transportation',derailment
'lawyer engineer daze train crash engineer speed commuter train run',derailment
'wake up news train derailment pray affect',derailment
' train derailment kill four injure',derailment
'train derailment affect travel',derailment
'more say train travel mph mph zone derail kill passenger',derailment
'mayor t say be defend absence crash site',derailment
'today audio technician way set up rock tree light dead train derailment',derailment
'think train crash speed investigator analyze data fr',derailment
' train derailment kill least injure dozens',derailment
' train crash leave four dead injure irish time',derailment
'call camera wake derailment',derailment
'so rip who die metro north crash',derailment
'hear paul walker die car crash metro north train derail',derailment
'investigate derailment kill injure more ',derailment
' city train derailment air query technology  unite state',derailment
'lawyer train operator daze crash',derailment
'live news conference derailment here',derailment
'family center establish train derailment',derailment
'photo engineer rockefeller wheel stretcher train operate derail',derailment
'train derailment kill more injure',derailment
'least dead injure train derailment',derailment
'people seek information family member involve  train derailment contact metro north',derailment
'investigator examine wreckage  train crash passenger train crash  ea',derailment
'prayer go out effect train derailment ',derailment
'derailment confirm operator injure',derailment
'photo derail commuter train carriage  city user photo derail commuter t',derailment
'least dead dozen injure train derailment',derailment
'crash latest spate accident',derailment
'keep say call people miss train derailment outside have ca',derailment
'train involve derailment be train  due grand central be',derailment
'least four people confirm dead injure train crash  fire department say',derailment
'call level mobilization possible train derailment near metro north station',derailment
'can train engineer hold sunday derailment',derailment
'derailment  affect haven line hudson line service suspend',derailment
' train travel speed limit derailment break news investigator s',derailment
'base train data no indication brake function derailment sunday',derailment
'feed issue emergency order staff amp modify speed limit n',derailment
'break news major train derailment dead injure',derailment
'update metro north train engineer try piece event derailment',derailment
'update report train derailment dead union official train operator year job',derailment
'story er injure metro north derailment',derailment
'rip kill  train crash',derailment
'train derailment  city fbi scene coast scene firefighter scene injure',derailment
'prayer affect derailment',derailment
'engineer admit zone out train crash',derailment
'news break confirm four people kill injure',derailment
'witness describe aftermath train derailment leave dead injure ',derailment
'break news confirm four people kill injure',derailment
' train crash driver lose focus driver  commuter train derail sunday k',derailment
'now train derail happen world',derailment
'think amp prayer go out people who affect  train derailment ',derailment
' train crash driver zone out say rail union guardian',derailment
'train crash prompt feed require more conductor',derailment
'investigator search cause train derailment',derailment
'admit out crash',derailment
'video  train crash kill four least four people have be kill more have be',derailment
'investigator train speed crash ',derailment
'engineer in daze crash engineer train derail  tell official',derailment
'train derailment train',derailment
'engineer derail  commuter train suspend engineer commuter train',derailment
'there metro north derailment have be more sleep',derailment
'people die train call camera hundred die car senator press require camera train',derailment
'investigate train derailment',derailment
'derailment latest mishap year trouble',derailment
'multiple injury train derailment',derailment
'latest passenger train derailment',derailment
'probe seek cause train crash kill',derailment
' city train derailment witness quote say carriage water picture',derailment
'today write crash black monday amazon drone jade rabbit',derailment
'heart go out who derail train  morning',derailment
'latest passenger train derail  multiple injury report photo',derailment
'train derailment kill hurt more  city commuter train round riverside curve',derailment
'hold train derailment ',derailment
'crash second major derailment one year',derailment
'photo train derailment photo credit ray martin',derailment
'possible jail time conductor break train derail travel mph approach mph zone',derailment
'feed issue rule follow derailment',derailment
'update photo train derailment take witness show car derail none water',derailment
' train travel curve derailment investigator say it tell i',derailment
'student affect train derailment today so email u',derailment
'discuss effort deal metro north derailment',derailment
'info family member involve metro north crash call',derailment
'think affect train derailment ',derailment
'metro north derailment video',derailment
'probe seek cause train crash  official say locomotive',derailment
'train derailment air query technology general headline',derailment
'rockefeller engineer fell train derailment report',derailment
' say people dead injure  train derailment',derailment
' mayor golf bermuda derailment',derailment
'hell break train derail travel mph approach mph zone',derailment
'police say passenger train derail ',derailment
'associate press union official engineer catch nod control train derailment',derailment
'do physics make derailment report',derailment
'train derailment latest woe',derailment
' metro derailment train travel mph enter mph curve investigator say',derailment
'official multiple death train derailment',derailment
'train crash  helicopter crash glasgow paul walker week',derailment
'now official discuss train crash  live',derailment
'helicopter crash glasgow train crash  car crash la think lot family christmas',derailment
'break order modify signal system wake  crash',derailment
'least dead train derailment recap',derailment
'derail  train have alert mechanism engineer car source report',derailment
'rip people who die metro north crash morning wow',derailment
'so back visit suppose take metro train derail morning have time crazy',derailment
'city hall park de say hi heart go out metro north crash victim note take train time visit his mo',derailment
'lawyer engineer daze train crash lawyer engineer daze train crash',derailment
'lawyer engineer daze train crash engineer speed commuter train run off rail',derailment
' city mayor defend play golf bermuda weekend train derailment',derailment
'railroad slap emergency order  crash',derailment
'video  time minute speed call possible cause train crash revolution uk',derailment
' andrew say speed factor train derailment',derailment
' train crash kill four four people have be kill injure passenger train crash',derailment
'hold second medium brief derailment pm today hampton inn ',derailment
'four dead train derailment ',derailment
' fire department multiple injury passenger train derailment severity',derailment
'latest derailment leave four dead injure think family ride train day',derailment
'police passenger train derail  city car',derailment
' train crash probe begin us authority begin investigation cause sunday y',derailment
'driver  train crash zone out union washington ',derailment
'board member earl conduct morning interview site train derailment  ',derailment
'final funeral train derailment victim news brooklyn final funeral train derailment',derailment
'man hail hero help passenger derailment',derailment
'source say  train crash engineer tell cop may have zone out',derailment
'investigator examine wreckage  train crash',derailment
'black box datum recorder recover eye derailment ',derailment
' derailment kill train derail  sunday morning kill four',derailment
'official speed factor walker crash death associate press train derail sunday ',derailment
'restore service albany derailment delay expect',derailment
'send love amp heal vibes affect today train derailment ',derailment
'pray lose today train crash blessing who make safe',derailment
'detail  train go mph mph zone crash say',derailment
'train derail travel mph approach  news train',derailment
'let u pray kill injure metro north train derailment morning ',derailment
' investigator look derailment no problem find brake system signal so far',derailment
'break spokeswoman say train derailment cause multiple fatality dozen injury',derailment
'wow develop fatality report commuter train derailment',derailment
'train derailment due human error issue or failure more install equipment',derailment
'unknown number injury  city train derailment near station ',derailment
'train derailment kill hurt more train derailment kill hurt more',derailment
'break service resume tomorrow percent hudson line',derailment
'survivor derailment say think have nightmare train veer off',derailment
'technology may have prevent  train crash',derailment
'develop passenger train derail  carriage water fuck',derailment
' train derailment kill least injure dozens least people kill injure',derailment
'automate train have prevent derailment train derail sunday',derailment
'morning sweet  train crash god bless who pass ok',derailment
'update train service empire line suspend albany derailment',derailment
'man kill train derail travel rockefeller center christmas tree k',derailment
' metro north train derailment photo major train derailment dead injure',derailment
'train crash union official say train engineer nod off',derailment
'photo scene train derailment have die injure',derailment
' train crash kill four least four people kill dozen injure passenger train derail  city prom',derailment
'governor dead hurt train derailment passenger train derail curve section',derailment
'sen sunday train crash speed up deployment positive train',derailment
'train derail  hope ok',derailment
' city commuter warn delay follow derailment',derailment
'travel nightmare result derailment',derailment
'live picture derailment  watch',derailment
'update train travel mph curve derailment',derailment
'video  train crash kill four least four people have be kill more have b',derailment
'engineer sleep train derailment source say',derailment
'one worst fear train derailment',derailment
'photo  city train derailment kill injure dozens',derailment
' train crash inquiry focus engineer action',derailment
'crash reminder human factor blame speed sunday morning derailment',derailment
'break train  crash go mph mph zone say',derailment
'probe seek cause train crash kill probe seek cause train crash kill',derailment
'rob one four people who kill sunday derailment county',derailment
'unknown number injury  city train derailment near station',derailment
'photo train derailment kill least passenger injure dozen',derailment
'producer scene least kill injure  train derailment',derailment
' train crash probe begin us authorities begin investigation cause sunday',derailment
'pray people who die amp injure train crash derailment lord love go out',derailment
'send  investigate metro north train derailment',derailment
'hear metro north derailment start no justification worry hope worry',derailment
'get damn break train  crash go mph mph zone say',derailment
'derailment latest',derailment
'break news  multiple injury report metro derailment',derailment
'break train derail travel mph approach mph zone',derailment
' derailment kill wall street journal wall street  derailment kill street j',derailment
'derailment train must have be go fast car far off track',derailment
'much go morning metro north derailment',derailment
'dead train derailment  fire department official say dozen more passenger',derailment
' train crash probe begin us authority begin investigation cause sunday',derailment
'mayor wont say be defend absence crash site',derailment
'identify people kill train crash  police confirm',derailment
'four die commuter train derail  city',derailment
'rip people involve helicopter crash glasgow train crash  paul walker',derailment
' city commuter warn delay follow derailment wall street ',derailment
'metro north railroad train crash positive train control have help gao have recent report',derailment
'kill injure train derailment accident ',derailment
'least kill train derailment',derailment
'least people kill injure  commuter train derailment fire department say',derailment
' city commuter warn delay follow derailment commuter  city',derailment
'source engineer lose focus moment derailment',derailment
'break  say people dead injure train derailment ',derailment
'post train derailment survivor i think go it be do',derailment
'work determine why train derail while round curve kill four injure more',derailment
'pray affect subway train derailment brother have be',derailment
'order put extra crew train signal upgrade follow derailment',derailment
'train derailment air query technology  revelation  city c',derailment
'train derailment kill hurt more washington post washington train derailment kill',derailment
'probe seek cause train crash probe seek cause train crash',derailment
'dead hurt train derailment',derailment
' derailment kill wall street journal   derailment kill street y',derailment
'four dead dozens injure train derailment fox',derailment
' train crash kill four',derailment
'offer prayer victim  city train derailment',derailment
'news update driver  train crash zone out union',derailment
'multiple injury train',derailment
'feel re metro north derailment ride same line sept safety record past year great service',derailment
'least people dead dozens hurt  city train derailment say u medium',derailment
'crash engineer derail  train who claim try hit break crash',derailment
'probe seek cause train crash',derailment
'complete photo gallery today major train derailment  city',derailment
'photo metro north train derailment',derailment
'stick train safety deadline  city crash',derailment
'break news train crash travel mph go mph zone',derailment
'multiple injury train derailment fire department multiple injury passenger train',derailment
'correction train derailment story',derailment
'crane right car derail train',derailment
'picture train derailment',derailment
'multiple injury passenger train derailment severity fire department confirm',derailment
'break least dead injure train derailment',derailment
'fire department  say there multiple injury passenger train',derailment
' train crash technician nurse victim',derailment
'police say passenger train derail  city car water',derailment
'source least people injure train derail sunday morning  ',derailment
'train derailment leave dead dozens injure',derailment
